System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (F),Upstairs2
heat,compressorHeatOff,,Sleep,73,62,67.4,44,46.6,0,0,0,0,0,,65.2,44,0,67.4,0
heat,compressorHeatOff,,Sleep,73,62,67.4,45,46.6,0,0,0,0,0,,64.8,45,0,67.4,0
heat,compressorHeatOff,,Sleep,73,62,67.4,44,46.6,0,0,0,0,0,,64.9,44,0,67.4,0
heat,compressorHeatOff,,Sleep,73,62,67.3,44,46.3,0,0,0,0,0,,65,44,0,67.3,0
heat,compressorHeatOff,,Sleep,73,62,67.2,44,46.3,0,0,0,0,0,,65.2,44,0,67.2,0
heat,compressorHeatOff,,Sleep,73,62,67.2,44,46.3,0,0,0,0,0,,65.2,44,0,67.2,0
heat,compressorHeatOff,,Sleep,73,62,67.2,44,46.3,0,0,0,0,0,,65,44,0,67.2,0
heat,compressorHeatOff,,Sleep,73,62,67.2,45,46.3,0,0,0,0,0,,64.5,45,0,67.2,0
heat,compressorHeatOff,,Sleep,73,62,67.2,44,46.3,0,0,0,0,0,,64.7,44,0,67.2,0
heat,compressorHeatOff,,Sleep,73,62,67.2,44,46.1,0,0,0,0,0,,64.8,44,0,67.2,0
heat,compressorHeatOff,,Sleep,73,62,67.1,44,46.1,0,0,0,0,0,,64.9,44,0,67.1,0
heat,compressorHeatOff,,Sleep,73,62,67.1,44,46.1,0,0,0,0,0,,65,44,0,67.1,0
heat,compressorHeatOff,,Sleep,73,62,67.1,44,46.1,0,0,0,0,0,,64.7,44,0,67.1,0
heat,compressorHeatOff,,Sleep,73,62,67.1,44,46.1,0,0,0,0,0,,64.3,44,0,67.1,0
heat,compressorHeatOff,,Sleep,73,62,67.1,44,46.1,0,0,0,0,0,,64.5,44,0,67.1,0
heat,compressorHeatOff,,Sleep,73,62,67,44,45.8,0,0,0,0,0,,64.6,44,0,67,0
heat,compressorHeatOff,,Sleep,73,62,66.9,44,45.8,0,0,0,0,0,,64.7,44,0,66.9,0
heat,compressorHeatOff,,Sleep,73,62,66.9,44,45.8,0,0,0,0,0,,64.7,44,0,66.9,0
heat,compressorHeatOff,,Sleep,73,62,66.9,44,45.8,0,0,0,0,0,,64.4,44,0,66.9,0
heat,compressorHeatOff,,Sleep,73,62,66.9,44,45.8,0,0,0,0,0,,64.1,44,0,66.9,0
heat,compressorHeatOff,,Sleep,73,62,66.9,44,45.8,0,0,0,0,0,,64.3,44,0,66.9,0
heat,compressorHeatOff,,Sleep,73,62,66.9,44,45.4,0,0,0,0,0,,64.4,44,0,66.9,0
heat,compressorHeatOff,,Sleep,73,62,66.8,44,45.4,0,0,0,0,0,,64.5,44,0,66.8,0
heat,compressorHeatOff,,Sleep,73,62,66.7,44,45.4,0,0,0,0,0,,64.4,44,0,66.7,0
heat,compressorHeatOff,,Sleep,73,62,66.7,44,45.4,0,0,0,0,0,,64,44,0,66.7,0
heat,compressorHeatOff,,Sleep,73,62,66.7,44,45.4,0,0,0,0,0,,63.8,44,0,66.7,0
heat,compressorHeatOff,,Sleep,73,62,66.7,44,45.4,0,0,0,0,0,,63.8,44,0,66.7,0
heat,compressorHeatOff,,Sleep,73,62,66.7,44,44.9,0,0,0,0,0,,64,44,0,66.7,0
heat,compressorHeatOff,,Sleep,73,62,66.5,44,44.9,0,0,0,0,0,,64,44,0,66.5,0
heat,compressorHeatOff,,Sleep,73,62,66.5,44,44.9,0,0,0,0,0,,64,44,0,66.5,0
heat,compressorHeatOff,,Sleep,73,62,66.5,44,44.9,0,0,0,0,0,,63.6,44,0,66.5,0
heat,compressorHeatOff,,Sleep,73,62,66.5,44,44.9,0,0,0,0,0,,63.4,44,0,66.5,0
heat,compressorHeatOff,,Sleep,73,62,66.5,44,44.9,0,0,0,0,0,,63.6,44,0,66.5,0
heat,compressorHeatOff,,Sleep,73,62,66.3,44,44.8,0,0,0,0,0,,63.7,44,0,66.3,0
heat,compressorHeatOff,,Sleep,73,62,66.3,44,44.8,0,0,0,0,0,,63.8,44,0,66.3,0
heat,compressorHeatOff,,Sleep,73,62,66.3,44,44.8,0,0,0,0,0,,63.7,44,0,66.3,0
heat,compressorHeatOff,,Sleep,73,62,66.3,44,44.8,0,0,0,0,0,,63.3,44,0,66.3,0
heat,compressorHeatOff,,Sleep,73,62,66.3,44,44.8,0,0,0,0,0,,63.3,44,0,66.3,0
heat,compressorHeatOff,,Sleep,73,62,66.3,44,44.8,0,0,0,0,0,,63.5,44,0,66.3,0
heat,compressorHeatOff,,Sleep,73,62,66.3,44,44.5,0,0,0,0,0,,63.6,44,0,66.3,0
heat,compressorHeatOff,,Sleep,73,62,66.2,44,44.5,0,0,0,0,0,,63.7,44,0,66.2,0
heat,compressorHeatOff,,Sleep,73,62,66.2,44,44.5,0,0,0,0,0,,63.7,44,1,66.2,1
heat,compressorHeatOff,,Sleep,73,62,66.2,44,44.5,0,0,0,0,0,,63.1,44,0,66.2,1
heat,compressorHeatOff,,Sleep,73,62,66.2,44,44.5,0,0,0,0,0,,63.1,44,0,66.2,1
heat,compressorHeatOff,,Sleep,73,62,66.1,44,44.5,0,0,0,0,0,,63.3,44,0,66.1,0
heat,compressorHeatOff,,Sleep,73,62,66,44,43.8,0,0,0,0,0,,63.5,44,0,66,0
heat,compressorHeatOff,,Sleep,73,62,66,44,43.8,0,0,0,0,0,,63.6,44,0,66,0
heat,compressorHeatOff,,Sleep,73,62,65.9,44,43.8,0,0,120,0,120,,63.5,44,0,65.9,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,65.8,44,43.8,0,0,300,0,300,,63,44,0,65.8,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,66.1,45,43.8,0,0,300,0,300,,62.8,45,0,66.1,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,66.4,46,43.8,0,0,300,0,300,,62.7,46,0,66.4,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,66.8,46,43.6,0,0,300,0,300,,62.6,46,0,66.8,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,67.1,47,43.6,0,0,300,0,300,,62.6,47,0,67.1,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,67.2,48,43.6,0,0,300,0,300,,62.6,48,0,67.2,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,67.4,48,43.6,0,0,300,0,300,,62.6,48,0,67.4,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,67.6,48,43.6,0,0,300,0,300,,62.6,48,0,67.6,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,67.8,48,43.6,0,0,300,0,300,,62.6,48,0,67.8,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,67.3,48,44.4,0,0,300,0,300,,62.7,48,0,68,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,66.8,48,44.4,0,0,300,0,300,,62.7,48,0,68.1,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,66.5,48,44.4,0,0,300,0,300,,62.8,48,0,68.3,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,66.3,48,44.4,0,0,300,0,300,,62.9,48,0,68.5,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,73,62,66.1,48,44.4,0,0,300,0,300,,62.9,48,0,68.7,0
heat,compressorHeatStage1On,(SmartRecovery),Sleep,74.2,63.2,65.9,48,44.4,0,0,300,0,300,,63,48,0,68.9,0
heat,compressorHeatStage1On,,Home,78,67,66,48,45.1,0,0,300,0,300,,63,48,0,69,0
heat,compressorHeatStage1On,,Home,78,67,66.1,47,45.1,0,0,300,0,300,,63.1,47,0,69.2,0
heat,compressorHeatStage1On,,Home,78,67,66.1,47,45.1,0,0,300,0,300,,63.1,47,0,69.2,0
heat,compressorHeatStage1On,,Home,78,67,66.2,47,45.1,0,0,300,0,300,,63.1,47,0,69.4,0
heat,compressorHeatStage1On,,Home,78,67,66.3,47,45.1,0,0,300,0,300,,63.1,47,0,69.6,0
heat,compressorHeatStage1On,,Home,78,67,66.4,47,45.1,0,0,300,0,300,,63.1,47,0,69.8,0
heat,compressorHeatStage1On,,Home,78,67,66.5,48,46.7,0,0,300,0,300,,63.2,48,0,69.8,0
heat,compressorHeatStage1On,,Home,78,67,66.5,48,46.7,0,0,300,0,300,,63.2,48,0,69.9,0
heat,compressorHeatStage1On,,Home,78,67,66.7,48,46.7,0,0,45,0,90,,63.3,48,0,70,0
heat,compressorHeatOff,,Home,78,67,66.9,48,46.7,0,0,0,0,0,,63.8,48,0,70.1,0
heat,compressorHeatOff,,Home,78,67,67,47,46.7,0,0,0,0,0,,64.3,47,0,69.8,0
heat,compressorHeatOff,,Home,78,67,67,46,46.7,0,0,0,0,0,,64.5,46,0,69.4,0
heat,compressorHeatOff,,Home,78,67,66.9,46,48.7,0,0,0,0,0,,64.7,46,0,69.2,0
heat,compressorHeatOff,,Home,78,67,66.8,45,48.7,0,0,0,0,0,,64.7,45,1,69,0
heat,compressorHeatOff,,Home,78,67,66.4,45,48.7,0,0,240,0,240,,64.3,45,1,68.9,0
heat,compressorHeatStage1On,,Home,78,67,66.1,46,48.7,0,0,300,0,300,,64.1,46,1,68.9,0
heat,compressorHeatStage1On,,Home,78,67,65.8,47,48.7,0,0,300,0,300,,64,47,1,69.2,1
heat,compressorHeatStage1On,,Home,78,67,66.2,48,48.7,0,0,300,0,300,,63.9,48,1,69.4,1
heat,compressorHeatStage1On,,Home,78,67,66.6,48,49.8,0,0,180,0,225,,64,48,1,69.6,1
heat,compressorHeatOff,,Home,78,67,67,48,49.8,0,0,0,0,0,,64.3,48,1,69.8,0
heat,compressorHeatOff,,Home,78,67,67.3,48,49.8,0,0,0,0,0,,64.9,48,0,69.7,0
heat,compressorHeatOff,,Home,78,67,67.3,47,49.8,0,0,0,0,0,,65.3,47,1,69.4,0
heat,compressorHeatOff,,Home,78,67,67.3,46,49.8,0,0,0,0,0,,65.6,46,1,69.1,0
heat,compressorHeatOff,,Home,78,67,67.3,46,49.8,0,0,0,0,0,,65.8,46,1,68.9,1
heat,compressorHeatOff,,Home,78,67,67.2,46,51.3,0,0,0,0,0,,65.6,46,0,68.9,1
heat,compressorHeatOff,,Home,78,67,67.2,46,51.3,0,0,0,0,0,,65.5,46,0,68.8,0
heat,compressorHeatOff,,Home,78,67,67.2,46,51.3,0,0,0,0,0,,65.8,46,1,68.7,0
heat,compressorHeatOff,,Home,78,67,67.3,46,51.3,0,0,0,0,0,,66,46,0,68.6,0
heat,compressorHeatOff,,Home,78,67,67.2,45,51.3,0,0,0,0,0,,66.1,45,0,68.4,0
heat,compressorHeatOff,,Home,78,67,67.2,44,51.3,0,0,0,0,0,,66.1,44,0,68.3,0
heat,compressorHeatOff,,Home,78,67,67,44,52.4,0,0,0,0,0,,65.9,44,1,68.3,0
heat,compressorHeatOff,,Home,78,67,66.9,44,52.4,0,0,0,0,0,,65.8,44,0,68.3,0
heat,compressorHeatOff,,Home,78,67,66.9,44,52.4,0,0,0,0,0,,65.9,44,1,68.1,1
heat,compressorHeatOff,,Home,78,67,67,44,52.4,0,0,0,0,0,,66.1,44,0,68.1,1
heat,compressorHeatOff,,Home,78,67,67.1,44,52.4,0,0,0,0,0,,66.2,44,0,68,1
heat,compressorHeatOff,,Home,78,67,67.1,44,52.4,0,0,0,0,0,,66.3,44,0,68,0
heat,compressorHeatOff,,Home,78,67,66.8,44,53.7,0,0,0,0,0,,65.8,44,0,67.8,0
heat,compressorHeatOff,,Home,78,67,66.7,44,53.7,0,0,0,0,0,,65.7,44,0,67.8,0
heat,compressorHeatOff,,Home,78,67,66.7,44,53.7,0,0,0,0,0,,66,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.9,44,53.7,0,0,0,0,0,,66.1,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.9,44,53.7,0,0,0,0,0,,66.3,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.9,44,53.7,0,0,0,0,0,,66.3,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.6,44,52.2,0,0,120,0,120,,65.8,44,0,67.4,0
heat,compressorHeatStage1On,,Home,78,67,66.4,44,52.2,0,0,300,0,300,,65.4,44,1,67.4,0
heat,compressorHeatStage1On,,Home,78,67,66.2,45,52.2,0,0,300,0,300,,65.1,45,0,67.7,1
heat,compressorHeatStage1On,,Home,78,67,66.5,46,52.2,0,0,255,0,300,,64.9,46,1,68.4,1
heat,compressorHeatOff,,Home,78,67,66.9,46,52.2,0,0,0,0,0,,64.8,46,1,69,1
heat,compressorHeatOff,,Home,78,67,67.1,46,52.2,0,0,0,0,0,,65.2,46,0,69.1,1
heat,compressorHeatOff,,Home,78,67,67.2,46,53.4,0,0,0,0,0,,65.6,46,0,68.8,0
heat,compressorHeatOff,,Home,78,67,67.1,45,53.4,0,0,0,0,0,,65.8,45,0,68.4,0
heat,compressorHeatOff,,Home,78,67,67,44,53.4,0,0,0,0,0,,65.9,44,0,68.2,0
heat,compressorHeatOff,,Home,78,67,66.9,44,53.4,0,0,0,0,0,,65.8,44,0,68,0
heat,compressorHeatOff,,Home,78,67,66.7,45,53.4,0,0,0,0,0,,65.5,45,0,68,0
heat,compressorHeatOff,,Home,78,67,66.8,44,53.4,0,0,0,0,0,,65.7,44,0,67.9,0
heat,compressorHeatOff,,Home,78,67,66.8,44,53.5,0,0,0,0,0,,65.8,44,0,67.8,0
heat,compressorHeatOff,,Home,78,67,66.8,44,53.5,0,0,0,0,0,,65.9,44,0,67.7,0
heat,compressorHeatOff,,Home,78,67,66.8,44,53.5,0,0,0,0,0,,66,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.6,44,53.5,0,0,60,0,60,,65.7,44,0,67.6,0
heat,compressorHeatStage1On,,Home,78,67,66.4,44,53.5,0,0,300,0,300,,65.2,44,0,67.6,0
heat,compressorHeatStage1On,,Home,78,67,66.3,45,53.5,0,0,300,0,300,,64.9,45,0,67.8,0
heat,compressorHeatStage1On,,Home,78,67,66.5,46,54.6,0,0,285,0,300,,64.7,46,0,68.3,0
heat,compressorHeatOff,,Home,78,67,66.8,46,54.6,0,0,0,0,30,,64.7,46,0,69,0
heat,compressorHeatOff,,Home,78,67,67,46,54.6,0,0,0,0,0,,65,46,0,69,0
heat,compressorHeatOff,,Home,78,67,67,46,54.6,0,0,0,0,0,,65.4,46,0,68.7,0
heat,compressorHeatOff,,Home,78,67,66.9,45,54.6,0,0,0,0,0,,65.6,45,0,68.3,0
heat,compressorHeatOff,,Home,78,67,66.9,44,54.6,0,0,0,0,0,,65.7,44,0,68.1,0
heat,compressorHeatOff,,Home,78,67,66.8,44,55.1,0,0,0,0,0,,65.6,44,0,68.1,0
heat,compressorHeatOff,,Home,78,67,66.7,44,55.1,0,0,0,0,0,,65.4,44,0,68,0
heat,compressorHeatOff,,Home,78,67,66.8,44,55.1,0,0,0,0,0,,65.7,44,0,68,0
heat,compressorHeatOff,,Home,78,67,66.9,44,55.1,0,0,0,0,0,,65.9,44,0,68,0
heat,compressorHeatOff,,Home,78,67,66.9,44,55.1,0,0,0,0,0,,66,44,0,67.8,0
heat,compressorHeatOff,,Home,78,67,66.8,44,55.1,0,0,0,0,0,,66.1,44,1,67.7,1
heat,compressorHeatOff,,Home,78,67,66.7,44,55.8,0,0,0,0,0,,65.9,44,0,67.6,1
heat,compressorHeatOff,,Home,78,67,66.6,44,55.8,0,0,0,0,0,,65.7,44,1,67.6,1
heat,compressorHeatOff,,Home,78,67,66.7,44,55.8,0,0,0,0,0,,65.9,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.8,44,55.8,0,0,0,0,0,,66.2,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,67,44,55.8,0,0,0,0,0,,66.4,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,67,44,55.8,0,0,0,0,0,,66.5,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.9,44,56.8,0,0,0,0,0,,66.2,44,1,67.6,0
heat,compressorHeatOff,,Home,78,67,66.8,44,56.8,0,0,0,0,0,,66,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.8,44,56.8,0,0,0,0,0,,66.2,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.9,44,56.8,0,0,0,0,0,,66.4,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.9,44,56.8,0,0,0,0,0,,66.6,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.8,44,56.8,0,0,0,0,0,,66.6,44,0,67.6,0
heat,compressorHeatOff,,Home,78,67,66.5,44,57,0,0,150,0,150,,66.3,44,0,67.6,0
heat,compressorHeatStage1On,,Home,78,67,66.2,44,57,0,0,300,0,300,,65.8,44,0,67.6,0
heat,compressorHeatStage1On,,Home,78,67,66.2,45,57,0,0,300,0,300,,65.5,45,0,67.8,0
heat,compressorHeatStage1On,,Home,78,67,66.5,46,57,0,0,285,0,300,,65.4,46,0,68.3,0
heat,compressorHeatOff,,Home,78,67,66.9,46,57,0,0,0,0,30,,65.4,46,0,68.7,0
heat,compressorHeatOff,,Home,78,67,67.3,46,57,0,0,0,0,0,,65.8,46,0,68.9,0
heat,compressorHeatOff,,Home,78,67,67.4,45,57,0,0,0,0,0,,66.2,45,0,68.7,0
heat,compressorHeatOff,,Home,78,67,67.4,44,57,0,0,0,0,0,,66.5,44,1,68.5,0
heat,compressorHeatOff,,Home,78,67,67.4,44,57,0,0,0,0,0,,66.7,44,1,68.3,0
heat,compressorHeatOff,,Home,78,67,67.3,44,57,0,0,0,0,0,,66.7,44,0,68.3,0
heat,compressorHeatOff,,Home,78,67,67.1,45,57,0,0,0,0,0,,66.4,45,0,68.3,1
heat,compressorHeatOff,,Home,78,67,67.3,44,57,0,0,0,0,0,,66.6,44,0,68.3,1
heat,compressorHeatOff,,Home,78,67,67.5,44,57,0,0,0,0,0,,66.8,44,0,68.3,0
heat,compressorHeatOff,,Home,78,67,67.6,44,57,0,0,0,0,0,,66.9,44,0,68.3,0
heat,compressorHeatOff,,Home,78,67,67.6,44,57,0,0,0,0,0,,67,44,0,68.3,0
heat,compressorHeatOff,,Home,78,67,67.4,44,57,0,0,0,0,0,,66.7,44,1,68.3,0
heat,compressorHeatOff,,Home,78,67,67.2,45,57,0,0,0,0,0,,66.2,45,1,68.3,1
heat,compressorHeatOff,,Home,78,67,67.3,46,57,0,0,0,0,0,,66.4,46,1,68.3,1
heat,compressorHeatOff,,Home,78,67,67.4,46,56.8,0,0,0,0,0,,66.6,46,0,68.3,0
heat,compressorHeatOff,,Home,78,67,67.4,46,56.8,0,0,0,0,0,,66.8,46,0,68.1,0
heat,compressorHeatOff,,Home,78,67,67.5,46,56.8,0,0,0,0,0,,67,46,0,68.1,0
heat,compressorHeatOff,,Home,78,67,67.4,46,56.8,0,0,0,0,0,,66.8,46,0,68.1,0
heat,compressorHeatOff,,Home,78,67,67.3,46,56.8,0,0,0,0,0,,66.5,46,0,68.1,0
heat,compressorHeatOff,,Home,78,67,67.3,46,56.8,0,0,0,0,0,,66.6,46,0,68,0
heat,compressorHeatOff,,Home,78,67,67.4,46,55.8,0,0,0,0,0,,66.8,46,0,68,0
heat,compressorHeatOff,,Home,78,67,67.5,46,55.8,0,0,0,0,0,,67,46,0,68,0
heat,compressorHeatOff,,Home,78,67,67.5,46,55.8,0,0,0,0,0,,67.1,46,0,68,0
heat,compressorHeatOff,,Home,78,67,67.4,46,55.8,0,0,0,0,0,,66.8,46,0,68,0
heat,compressorHeatOff,,Home,78,67,67.2,46,55.8,0,0,0,0,0,,66.5,46,0,68,0
heat,compressorHeatOff,,Home,78,67,67.2,46,55.8,0,0,0,0,0,,66.7,46,1,68,0
heat,compressorHeatOff,,Home,78,67,67.3,46,55,0,0,0,0,0,,66.9,46,0,68,0
heat,compressorHeatOff,,Home,78,67,67.3,46,55,0,0,0,0,0,,67,46,0,68,0
heat,compressorHeatOff,,Home,78,67,67.2,46,55,0,0,0,0,0,,67.1,46,0,67.8,0
heat,compressorHeatOff,,Home,78,67,66.9,46,55,0,0,0,0,0,,66.7,46,0,67.8,0
heat,compressorHeatOff,,Home,78,67,66.5,46,55,0,0,150,0,150,,66.5,46,0,67.8,0
heat,compressorHeatStage1On,,Home,78,67,66.4,46,55,0,0,300,0,300,,66.3,46,0,67.8,0
heat,compressorHeatStage1On,,Home,78,67,66.2,47,53.2,0,0,300,0,300,,66,47,1,68.1,0
heat,compressorHeatStage1On,,Home,78,67,65.8,47,53.2,0,0,300,0,300,,65.8,47,1,68.4,0
heat,compressorHeatStage1On,,Home,78,67,65.7,48,53.2,0,0,300,0,300,,65.7,48,1,68.8,0
heat,compressorHeatStage1On,,Home,78,67,65.7,48,53.2,0,0,300,0,300,,65.7,48,1,69.1,0
heat,compressorHeatStage1On,,Home,78,67,65.6,48,53.2,0,0,300,0,300,,65.6,48,1,69.5,0
heat,compressorHeatStage1On,,Home,78,67,65.6,49,53.2,0,0,300,0,300,,65.6,49,1,69.8,0
heat,compressorHeatStage1On,,Home,78,67,65.7,49,53.1,0,0,300,0,300,,65.7,49,1,70,0
heat,compressorHeatStage1On,,Home,78,67,65.8,49,53.1,0,0,300,0,300,,65.8,49,0,70.2,0
heat,compressorHeatStage1On,,Home,78,67,66,49,53.1,0,0,300,0,300,,66,49,0,70.5,0
heat,compressorHeatStage1On,,Home,78,67,66.1,49,53.1,0,0,300,0,300,,66.1,49,1,70.7,0
heat,compressorHeatStage1On,,Home,78,67,66.2,49,53.1,0,0,300,0,300,,66.2,49,0,70.9,0
heat,compressorHeatStage1On,,Home,78,67,66.3,49,53.1,0,0,300,0,300,,66.3,49,1,71,0
heat,compressorHeatStage1On,,Home,78,67,66.4,49,52.4,0,0,300,0,300,,66.4,49,1,71.2,0
heat,compressorHeatStage1On,,Home,78,67,66.4,49,52.4,0,0,300,0,300,,66.4,49,0,71.2,0
heat,compressorHeatStage1On,,Home,78,67,66.5,49,52.4,0,0,300,0,300,,66.5,49,0,71.6,0
heat,compressorHeatStage1On,,Home,78,67,66.6,49,52.4,0,0,165,0,210,,66.6,49,0,71.8,0
heat,compressorHeatOff,,Home,78,67,66.9,49,52.4,0,0,0,0,0,,66.9,49,0,71.9,0
heat,compressorHeatOff,,Home,78,67,67.4,48,52.4,0,0,0,0,0,,67.4,48,0,71.7,0
heat,compressorHeatOff,,Home,78,67,67.8,47,52.8,0,0,0,0,0,,67.7,47,0,71.3,0
heat,compressorHeatOff,,Home,78,67,68.4,47,52.8,0,0,0,0,0,,68,47,0,71.1,0
heat,compressorHeatOff,,Home,78,67,68.8,47,52.8,0,0,0,0,0,,68.1,47,0,70.8,0
heat,compressorHeatOff,,Home,78,67,68.8,47,52.8,0,0,0,0,0,,67.9,47,0,70.7,0
heat,compressorHeatOff,,Home,78,67,68.9,47,52.8,0,0,0,0,0,,67.8,47,0,70.7,0
heat,compressorHeatOff,,Home,78,67,69.1,47,52.8,0,0,0,0,0,,68.1,47,0,70.5,0
heat,compressorHeatOff,,Home,78,67,69.3,47,52,0,0,0,0,0,,68.3,47,0,70.5,0
heat,compressorHeatOff,,Home,78,67,69.3,47,52,0,0,0,0,0,,68.4,47,0,70.3,0
heat,compressorHeatOff,,Home,78,67,69.3,46,52,0,0,0,0,0,,68.5,46,1,70.3,0
heat,compressorHeatOff,,Home,78,67,68.9,46,52,0,0,0,0,0,,68.2,46,1,70.1,0
heat,compressorHeatOff,,Home,78,67,68.8,47,52,0,0,0,0,0,,68,47,0,70.1,0
heat,compressorHeatOff,,Home,78,67,68.7,47,52,0,0,0,0,0,,68.2,47,0,70,0
heat,compressorHeatOff,,Home,78,67,68.7,47,52.5,0,0,0,0,0,,68.4,47,0,70,0
heat,compressorHeatOff,,Home,78,67,68.6,46,52.5,0,0,0,0,0,,68.5,46,0,70,0
heat,compressorHeatOff,,Home,78,67,68.5,45,52.5,0,0,0,0,0,,68.5,45,0,69.8,0
heat,compressorHeatOff,,Home,78,67,68.1,46,52.5,0,0,0,0,0,,68.1,46,1,69.8,0
