System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (F),Upstairs2
heat,compressorHeatOff,,Sleep,73,62,68.3,46,49.6,0,0,0,0,0,,66,46,0,68.3,0
heat,compressorHeatOff,,Sleep,73,62,68.3,45,49.6,0,0,0,0,0,,66.2,45,0,68.3,0
heat,compressorHeatOff,,Sleep,73,62,68.3,44,49.6,0,0,0,0,0,,66.3,44,0,68.3,0
heat,compressorHeatOff,,Sleep,73,62,68.1,44,49.6,0,0,0,0,0,,66.3,44,0,68.1,0
heat,compressorHeatOff,,Sleep,73,62,68.1,45,49.6,0,0,0,0,0,,65.8,45,0,68.1,0
heat,compressorHeatOff,,Sleep,73,62,68.1,46,49.6,0,0,0,0,0,,65.7,46,0,68.1,0
heat,compressorHeatOff,,Sleep,73,62,68.1,45,47.7,0,0,0,0,0,,65.9,45,0,68.1,0
heat,compressorHeatOff,,Sleep,73,62,68.1,44,47.7,0,0,0,0,0,,66,44,0,68.1,0
heat,compressorHeatOff,,Sleep,73,62,68,44,47.7,0,0,0,0,0,,66.1,44,0,68,0
heat,compressorHeatOff,,Sleep,73,62,68,44,47.7,0,0,0,0,0,,66,44,0,68,0
heat,compressorHeatOff,,Sleep,73,62,68,45,47.7,0,0,0,0,0,,65.5,45,0,68,0
heat,compressorHeatOff,,Sleep,73,62,68,46,47.7,0,0,0,0,0,,65.5,46,0,68,0
heat,compressorHeatOff,,Sleep,73,62,68,45,47.7,0,0,0,0,0,,65.7,45,0,68,0
heat,compressorHeatOff,,Sleep,73,62,68,44,47.7,0,0,0,0,0,,65.8,44,0,68,1
heat,compressorHeatOff,,Sleep,73,62,68,44,47.7,0,0,0,0,0,,65.9,44,0,68,1
heat,compressorHeatOff,,Sleep,73,62,67.8,44,47.7,0,0,0,0,0,,65.8,44,0,67.8,0
heat,compressorHeatOff,,Sleep,73,62,67.8,45,47.7,0,0,0,0,0,,65.3,45,0,67.8,0
heat,compressorHeatOff,,Sleep,73,62,67.8,45,47.7,0,0,0,0,0,,65.3,45,0,67.8,0
heat,compressorHeatOff,,Sleep,73,62,67.8,44,47.4,0,0,0,0,0,,65.5,44,0,67.8,0
heat,compressorHeatOff,,Sleep,73,62,67.6,44,47.4,0,0,0,0,0,,65.6,44,0,67.6,0
heat,compressorHeatOff,,Sleep,73,62,67.6,44,47.4,0,0,0,0,0,,65.7,44,0,67.6,0
heat,compressorHeatOff,,Sleep,73,62,67.6,44,47.4,0,0,0,0,0,,65.5,44,0,67.6,0
heat,compressorHeatOff,,Sleep,73,62,67.6,45,47.4,0,0,0,0,0,,65,45,0,67.6,0
heat,compressorHeatOff,,Sleep,73,62,67.6,44,47.4,0,0,0,0,0,,65.1,44,0,67.6,0
heat,compressorHeatOff,,Sleep,73,62,67.6,44,46.6,0,0,0,0,0,,65.3,44,0,67.6,0
heat,compressorHeatOff,,Sleep,73,62,67.6,44,46.6,0,0,0,0,0,,65.4,44,0,67.6,0
heat,compressorHeatOff,,Sleep,73,62,67.5,44,46.6,0,0,0,0,0,,65.5,44,0,67.5,0
